usuario,pelicula1,pelicula2,pelicula3
User118,2,3,2
User119,5,3,2
User120,3,5,5
User121,1,3,1
User122,3,2,2
User123,2,3,2
User124,5,3,2
User125,4,4,1
User126,1,3,3
User127,3,4,4
User128,3,1,3
User129,1,2,2
User130,5,3,2
User131,2,4,2
User132,2,1,4
User133,4,3,3
User134,4,2,2
User135,4,5,5
User136,4,2,5
User137,2,5,5
User138,4,5,3
User139,5,5,2
User140,3,5,4
User141,5,4,2
User142,5,4,4
User143,4,1,2
User144,1,4,2
User145,4,5,1
User146,5,1,5
User147,3,2,5
User148,1,5,4
User149,1,3,1
User150,5,3,2
User151,4,3,2
User152,5,4,3
User153,2,3,5
User154,5,1,1
User155,3,2,4
User156,4,1,2
User157,5,3,1
User158,3,4,1
User159,2,2,3
User160,4,5,2
User161,4,5,1
User162,5,4,2
User163,4,5,1
User164,3,5,2
User165,2,1,1
User166,5,5,1
User167,4,1,3
User168,1,4,2
User169,1,4,2
User170,1,5,4
User171,4,1,1
User172,1,1,4
User173,2,5,3
User174,1,3,3
User175,1,5,5
User176,1,1,2
User177,3,2,5
User178,1,3,2
User179,3,5,4
User180,5,1,5
User181,2,2,5
User182,5,2,3
User183,4,3,5
User184,3,2,1
User185,1,1,4
User186,5,4,4
User187,3,1,3
User188,4,5,2
User189,4,2,2
User190,1,3,4
User191,3,3,2
User192,4,2,4
User193,5,4,2
User194,2,4,2
User195,3,2,3
User196,5,5,3
User197,4,1,4
User198,1,5,3
User199,3,2,1
User200,3,3,2
User201,3,1,4
User202,3,3,3
User203,2,1,4
User204,4,5,3
User205,4,4,2
User206,1,2,4
User207,5,1,5
User208,2,2,3
User209,3,5,1
User210,2,1,2
User211,4,2,4
User212,5,4,2
User213,1,2,3
User214,4,4,2
User215,3,1,1
User216,5,4,3
User217,5,1,3
User218,2,3,5
User219,3,5,3
User220,4,3,2
User221,1,1,2
User222,5,1,5
User223,2,2,5
User224,5,4,5
User225,3,3,2
User226,2,4,3
User227,4,3,4
User228,2,5,2
User229,2,3,4
User230,3,4,3
User231,3,5,4
User232,5,3,1
User233,1,4,3
User234,5,2,5
User235,2,3,5
User236,1,3,1
User237,2,2,1
User238,1,5,5
User239,3,3,3
User240,4,5,2
User241,3,3,2
User242,3,3,2
User243,2,3,4
User244,1,4,2
User245,3,2,2
User246,2,1,3
User247,2,1,4
User248,5,3,2
User249,3,5,5
User250,5,4,5
User251,5,4,3
User252,2,1,5
User253,3,1,3
User254,5,4,3
User255,5,2,2
User256,5,3,4
User257,2,2,3
User258,4,1,5
User259,3,1,5
User260,3,2,2
User261,5,2,5
User262,5,5,2
User263,1,5,2
User264,4,4,5
User265,3,1,3
User266,3,1,2
User267,2,4,4
User268,1,4,2
User269,5,4,2
User270,1,2,2
User271,3,2,2
User272,2,4,5
User273,1,3,1
User274,4,1,3
User275,5,4,5
User276,5,3,5
User277,2,5,4
User278,5,2,1
User279,2,4,2
User280,2,4,1
User281,3,5,1
User282,2,1,2
User283,3,3,5
User284,5,1,1
User285,5,2,4
User286,5,3,5
User287,5,4,4
User288,5,5,4
User289,5,3,4
User290,5,3,5
User291,2,2,2
User292,5,1,3
User293,1,4,3
User294,1,5,4
User295,4,2,2
User296,2,3,2
User297,2,5,2
User298,5,2,3
User299,3,3,3
User300,2,4,1
User301,1,3,2
User302,2,1,4
User303,3,5,2
User304,5,2,2
User305,3,1,2
User306,2,3,1
User307,1,3,2
User308,2,2,2
User309,2,2,5
User310,3,5,4
User311,5,1,4
User312,4,3,2
User313,3,4,3
User314,4,5,3
User315,3,4,4
User316,4,3,3
User317,3,3,3
User318,1,3,3
User319,3,5,3
User320,1,2,2
User321,4,4,3
User322,3,4,5
User323,4,2,1
User324,4,2,1
User325,4,1,1
User326,2,3,1
User327,5,2,4
User328,3,4,2
User329,3,4,2
User330,2,3,1
User331,5,1,1
User332,4,3,2
User333,4,4,3
User334,4,1,4
User335,4,3,1
User336,2,5,1
User337,2,3,3
User338,2,4,4
User339,1,4,3
User340,5,5,1
User341,1,5,5
User342,5,3,4
User343,2,5,3
User344,5,1,4
User345,4,3,4
User346,2,2,5
User347,4,2,5
User348,4,5,2
User349,3,1,1
User350,4,5,1
User351,4,1,1
User352,4,3,2
User353,5,2,1
User354,3,4,2
User355,5,2,3
User356,5,4,5
User357,2,4,4
User358,4,4,4
User359,1,4,1
User360,2,2,4
User361,3,3,3
User362,1,4,1
User363,2,3,4
User364,5,5,1
User365,3,1,1
User366,3,2,1
User367,5,2,5
User368,4,5,2
User369,4,2,1
User370,5,2,2
User371,3,3,4
User372,3,5,2
User373,5,4,3
User374,1,1,4
User375,2,1,2
User376,1,5,2
User377,5,5,4
User378,3,5,2
User379,5,1,4
User380,1,4,5
User381,1,2,4
User382,3,5,2
User383,4,5,1
User384,2,4,1
User385,3,5,4
User386,2,2,3
User387,1,4,1
User388,1,1,5
User389,1,4,5
User390,5,4,4
User391,3,4,4
User392,2,3,1
User393,3,1,1
User394,2,4,5
User395,2,1,5
User396,1,2,1
User397,2,3,3
User398,1,4,1
User399,3,1,4
User400,5,4,4
User401,3,2,5
User402,4,3,5
User403,3,5,5
User404,3,5,5
User405,1,2,1
User406,5,1,4
User407,3,1,4
User408,2,2,4
User409,4,3,3
User410,1,5,5
User411,4,5,2
User412,4,5,1
User413,4,5,4
User414,1,5,1
User415,4,1,4
User416,5,2,2
User417,1,1,5
User418,3,1,1
User419,3,2,5
User420,1,4,1
User421,3,5,4
User422,3,4,2
User423,2,4,5
User424,1,1,5
User425,4,2,5
User426,1,2,3
User427,1,1,3
User428,1,4,5
User429,4,1,1
User430,2,1,3
User431,2,4,5
User432,2,2,4
User433,2,5,5
User434,1,2,1
User435,2,5,4
User436,4,4,4
User437,5,4,1
User438,5,4,4
User439,1,3,2
User440,5,3,5
User441,3,5,2
User442,3,4,3
User443,3,5,5
User444,4,2,4
User445,4,3,4
User446,2,3,1
User447,5,2,1
User448,1,4,5
User449,3,4,5
User450,3,3,4
User451,1,4,4
User452,5,3,4
User453,5,3,3
User454,3,4,5
User455,1,2,5
User456,2,1,3
User457,2,1,3
User458,5,2,5
User459,2,1,2
User460,3,1,1
User461,5,1,2
User462,3,2,5
User463,2,1,1
User464,2,4,4
User465,5,4,5
User466,3,3,3
User467,2,3,1
User468,5,2,1
User469,5,4,5
User470,2,1,5
User471,3,5,3
User472,2,1,1
User473,2,3,1
User474,5,2,4
User475,4,3,5
User476,3,3,1
User477,5,5,4
User478,5,5,4
User479,4,2,1
User480,4,1,4
User481,3,4,2
User482,1,5,3
User483,5,1,5
User484,1,1,3
User485,1,1,3
User486,4,4,5
User487,4,3,3
User488,4,3,1
User489,3,5,3
User490,3,1,4
User491,1,4,1
User492,2,1,4
User493,5,1,3
User494,2,2,3
User495,5,3,5
User496,5,2,1
User497,4,3,2
User498,2,2,1
User499,5,1,5
User500,4,4,4
User501,5,1,2
User502,3,2,4
User503,2,4,2
User504,2,1,4
User505,2,1,4
User506,2,5,3
User507,1,1,1
User508,5,1,1
User509,2,1,4
User510,3,4,3
User511,1,4,2
User512,3,2,4
User513,5,3,4
User514,5,5,4
User515,2,2,2
User516,2,5,2
User517,2,2,3
User518,1,1,2
User519,3,2,2
User520,3,5,3
User521,1,3,4
User522,1,2,1
User523,4,5,4
User524,1,4,1
User525,3,4,2
User526,4,4,3
User527,2,5,4
User528,2,1,3
User529,2,2,4
User530,3,4,5
User531,1,5,5
User532,2,3,3
User533,3,1,3
User534,2,4,5
User535,5,5,2
User536,1,3,5
User537,3,1,5
User538,5,2,4
User539,2,4,3
User540,4,3,1
User541,1,1,3
User542,2,3,5
User543,5,2,3
User544,5,3,3
User545,5,3,5
User546,1,3,3
User547,1,2,1
User548,3,1,5
User549,1,4,5
User550,5,2,1
User551,1,2,2
User552,2,1,3
User553,4,3,3
User554,2,2,4
User555,2,3,3
User556,5,3,3
User557,3,3,1
User558,4,2,1
User559,1,2,5
User560,3,5,1
User561,1,5,1
User562,2,1,3
User563,4,5,3
User564,1,5,4
User565,4,3,5
User566,5,4,2
User567,5,2,3
User568,1,3,3
User569,1,5,2
User570,2,4,3
User571,1,4,4
User572,4,3,4
User573,5,4,5
User574,3,4,3
User575,1,3,2
User576,4,5,1
User577,4,5,3
User578,5,1,2
User579,4,1,4
User580,4,5,5
User581,4,1,1
User582,3,2,2
User583,2,3,3
User584,1,5,3
User585,3,5,5
User586,5,4,1
User587,3,5,2
User588,5,4,3
User589,4,1,2
User590,2,4,2
User591,2,5,4
User592,5,3,4
User593,3,5,2
User594,5,1,1
User595,2,4,5
User596,1,1,5
User597,3,1,2
User598,1,5,5
User599,4,2,5
User600,5,2,1
User601,4,1,4
User602,5,2,3
User603,4,1,3
User604,1,4,5
User605,1,1,2
User606,3,1,3
User607,2,2,4
User608,5,5,2
User609,4,2,4
User610,1,5,4
User611,2,2,4
User612,2,5,3
User613,2,5,2
User614,4,5,5
User615,3,4,2
User616,3,1,5
User617,5,4,4
User618,1,2,4
User619,2,3,1
User620,4,5,1
User621,3,4,1
User622,2,4,3
User623,1,2,1
User624,5,2,5
User625,5,2,1
User626,1,4,2
User627,5,5,5
User628,2,3,2
User629,1,5,5
User630,4,2,5
User631,2,1,5
User632,1,2,1
User633,5,2,4
User634,3,4,2
User635,4,4,4
User636,5,3,3
User637,4,4,5
User638,4,5,2
User639,5,4,5
User640,4,2,1
User641,5,5,1
User642,1,5,4
User643,2,3,5
User644,5,1,3
User645,2,3,4
User646,3,2,3
User647,2,5,3
User648,4,3,4
User649,2,3,5
User650,3,4,4
User651,4,1,5
User652,2,5,2
User653,5,5,5
User654,2,4,2
User655,3,3,2
User656,5,3,4
User657,3,5,1
User658,4,5,2
User659,5,2,5
User660,3,2,5
User661,4,3,2
User662,1,2,3
User663,1,3,1
User664,2,5,1
User665,1,2,4
User666,3,3,5
User667,4,3,2
User668,4,4,4
User669,4,3,5
User670,4,3,5
User671,2,3,5
User672,1,1,5
User673,3,5,4
User674,5,4,2
User675,5,4,3
User676,4,3,2
User677,5,2,3
User678,5,5,3
User679,4,5,1
User680,4,1,3
User681,2,1,2
User682,2,3,2
User683,3,1,3
User684,5,4,3
User685,1,3,3
User686,3,3,5
User687,1,4,2
User688,4,5,3
User689,4,2,5
User690,2,5,2
User691,4,1,4
User692,5,3,2
User693,2,2,2
User694,3,3,2
User695,5,2,2
User696,3,1,2
User697,4,3,1
User698,5,5,3
User699,4,2,3
User700,3,3,5
User701,3,1,4
User702,5,4,5
User703,3,5,3
User704,1,1,2
User705,1,3,2
User706,4,4,3
User707,1,2,4
User708,4,4,5
User709,2,2,2
User710,3,4,5
User711,5,5,4
User712,5,1,2
User713,3,2,3
User714,2,5,3
User715,5,2,5
User716,2,5,4
User717,1,2,1
User718,2,3,2
User719,3,2,4
User720,4,5,3
User721,4,5,2
User722,1,2,1
User723,5,5,3
User724,5,4,3
User725,5,4,5
User726,3,2,2
User727,1,1,1
User728,1,5,4
User729,5,3,3
User730,2,1,2
User731,2,5,2
User732,5,5,3
User733,3,1,3
User734,1,1,2
User735,1,2,3
User736,4,4,2
User737,4,4,2
User738,4,4,2
User739,1,3,4
User740,4,4,5
User741,1,1,1
User742,3,2,1
User743,3,4,4
User744,4,5,2
User745,2,5,1
User746,1,3,5
User747,2,3,5
User748,5,2,4
User749,5,5,1
User750,2,5,4
User751,1,4,3
User752,4,2,4
User753,3,4,5
User754,3,4,5
User755,3,3,3
User756,2,3,5
User757,4,2,4
User758,5,2,4
User759,4,2,2
User760,1,3,2
User761,4,4,3
User762,2,5,1
User763,2,5,3
User764,4,5,2
User765,4,4,4
User766,1,3,3
User767,4,5,1
User768,3,1,5
User769,2,1,2
User770,2,1,1
User771,5,1,1
User772,3,5,5
User773,2,2,2
User774,4,2,3
User775,1,1,1
User776,4,2,5
User777,5,5,3
User778,2,1,5
User779,1,1,5
User780,3,1,2
User781,1,5,5
User782,3,2,1
User783,3,5,2
User784,5,4,1
User785,2,2,4
User786,2,5,2
User787,3,2,1
User788,5,5,2
User789,4,4,2
User790,3,1,1
User791,3,4,2
User792,2,4,4
User793,1,2,2
User794,5,3,3
User795,4,3,2
User796,4,3,1
User797,4,2,4
User798,2,2,4
User799,2,1,4
User800,1,4,3
User801,1,2,2
User802,1,5,4
User803,5,1,5
User804,3,3,5
User805,1,4,5
User806,5,1,2
User807,3,4,2
User808,1,5,3
User809,3,3,1
User810,2,5,5
User811,3,1,5
User812,1,2,4
User813,2,1,5
User814,5,2,3
User815,4,3,5
User816,4,2,3
User817,1,5,1
User818,2,2,4
User819,5,4,2
User820,1,1,4
User821,3,1,1
User822,3,1,5
User823,5,1,4
User824,4,3,1
User825,5,1,5
User826,3,3,1
User827,2,2,3
User828,2,5,5
User829,4,4,5
User830,5,4,2
User831,3,2,1
User832,1,1,1
User833,5,4,1
User834,3,3,5
User835,1,2,4
User836,3,1,3
User837,4,1,4
User838,3,4,4
User839,3,2,5
User840,5,5,1
User841,1,1,2
User842,4,4,2
User843,1,1,1
User844,5,2,5
User845,2,2,5
User846,1,1,4
User847,4,1,2
User848,4,1,4
User849,4,2,5
User850,3,1,1
User851,4,5,5
User852,3,4,3
User853,2,2,3
User854,4,4,3
User855,2,5,4
User856,2,4,1
User857,1,5,1
User858,1,3,3
User859,5,2,1
User860,1,1,5
User861,2,1,3
User862,4,2,1
User863,1,3,5
User864,4,2,2
User865,3,2,1
User866,4,3,3
User867,5,3,5
User868,4,2,4
User869,5,2,2
User870,4,4,4
User871,5,5,2
User872,3,3,1
User873,4,5,5
User874,1,2,2
User875,3,4,5
User876,3,4,2
User877,2,2,3
User878,1,2,3
User879,5,4,4
User880,1,3,1
User881,2,1,1
User882,2,4,4
User883,2,3,4
User884,1,1,2
User885,3,3,1
User886,1,3,1
User887,2,5,4
User888,1,2,5
User889,3,4,3
User890,5,2,5
User891,2,5,2
User892,5,1,5
User893,5,3,4
User894,1,3,5
User895,1,2,5
User896,3,4,1
User897,1,2,1
User898,4,5,1
User899,3,2,2
User900,5,5,4
User901,5,4,5
User902,2,2,2
User903,4,3,2
User904,3,5,1
User905,5,5,4
User906,3,4,1
User907,2,5,3
User908,3,5,4
User909,2,1,3
User910,5,5,1
User911,1,1,4
User912,3,3,2
User913,3,4,2
User914,4,2,5
User915,5,4,4
User916,5,3,1
User917,4,4,2
User918,4,1,3
User919,1,2,4
User920,3,1,2
User921,1,1,3
User922,5,5,1
User923,3,1,5
User924,2,4,2
User925,1,1,4
User926,4,5,3
User927,4,1,2
User928,2,1,5
User929,2,1,1
User930,5,3,5
User931,3,4,1
User932,5,3,3
User933,1,2,3
User934,5,5,5
User935,4,2,4
User936,3,1,2
User937,1,1,5
User938,4,5,4
User939,3,2,1
User940,5,2,4
User941,4,1,3
User942,5,4,3
User943,5,1,4
User944,3,4,5
User945,5,1,1
User946,1,3,3
User947,5,2,4
User948,2,1,3
User949,5,2,5
User950,2,4,4
User951,2,3,1
User952,3,3,1
User953,2,5,2
User954,3,2,2
User955,1,2,2
User956,4,5,1
User957,4,1,3
User958,1,3,2
User959,2,1,5
User960,4,4,3
User961,3,5,4
User962,4,5,3
User963,4,5,2
User964,5,5,1
User965,4,2,1
User966,4,3,1
User967,2,3,4
User968,5,5,5
User969,3,4,4
User970,3,1,3
User971,3,2,1
User972,5,4,2
User973,5,3,5
User974,3,1,1
User975,2,2,2
User976,4,4,5
User977,2,3,4
User978,4,2,1
User979,5,3,4
User980,2,5,5
User981,5,1,2
User982,5,5,1
User983,2,1,1
User984,2,5,2
User985,5,2,1
User986,5,3,5
User987,5,1,2
User988,4,5,2
User989,5,4,5
User990,4,2,2
User991,2,2,3
User992,3,2,2
User993,2,3,2
User994,5,5,2
User995,5,5,4
User996,2,1,3
User997,5,1,1
User998,3,4,1
User999,4,2,5
User1000,3,1,4
User1001,2,5,1
User1002,2,1,5
User1003,5,5,3
User1004,3,2,5
User1005,2,2,3
User1006,2,1,3
User1007,4,3,4
User1008,4,1,4
User1009,1,3,5
User1010,2,1,1
User1011,4,5,5
User1012,1,3,2
User1013,2,4,1
User1014,3,2,4
User1015,4,2,1
User1016,5,4,1
User1017,2,3,4
User1018,5,3,4
User1019,2,2,4
User1020,5,2,2
User1021,1,4,5
User1022,1,3,3
User1023,5,4,4
User1024,1,1,2
User1025,3,3,4
User1026,4,1,5
User1027,4,1,4
User1028,3,3,1
User1029,5,5,1
User1030,2,2,1
User1031,5,2,5
User1032,3,5,1
User1033,2,2,5
User1034,2,2,3
User1035,2,1,5
User1036,2,1,3
User1037,4,2,4
User1038,4,1,5
User1039,5,3,2
User1040,2,4,1
User1041,1,1,1
User1042,5,1,3
User1043,2,2,1
User1044,1,3,2
User1045,1,3,4
User1046,5,1,5
User1047,4,4,3
User1048,5,3,2
User1049,1,3,3
User1050,1,2,3
User1051,5,2,4
User1052,5,5,3
User1053,2,1,4
User1054,2,2,4
User1055,4,4,4
User1056,5,2,1
User1057,4,5,3
User1058,5,4,2
User1059,1,3,4
User1060,5,2,1
User1061,2,5,2
User1062,3,5,4
User1063,2,3,3
User1064,1,5,4
User1065,3,2,5
User1066,3,2,5
User1067,3,2,3
User1068,5,3,4
User1069,3,2,5
User1070,1,1,5
User1071,4,1,2
User1072,2,2,2
User1073,3,1,3
User1074,1,1,1
User1075,1,1,2
User1076,4,4,1
User1077,1,2,5
User1078,1,5,2
User1079,5,3,5
User1080,5,4,1
User1081,4,4,1
User1082,2,4,2
User1083,4,2,3
User1084,3,2,4
User1085,3,3,5
User1086,2,5,5
User1087,3,3,2
User1088,4,5,3
User1089,3,1,4
User1090,1,5,3
User1091,2,3,3
User1092,1,5,5
User1093,1,4,4
User1094,3,4,3
User1095,2,2,1
User1096,2,2,3
User1097,5,4,2
User1098,3,4,2
User1099,2,1,4
User1100,2,3,4
User1101,3,2,1
User1102,3,4,2
User1103,2,3,4
User1104,4,4,5
User1105,2,5,2
User1106,1,1,5
User1107,4,5,4
User1108,1,5,4
User1109,3,3,1
User1110,1,3,1
User1111,5,4,5
User1112,3,5,5
User1113,3,3,3
User1114,2,1,1
User1115,2,2,3
User1116,3,2,3
User1117,5,2,5
User1118,4,3,1
User1119,1,1,1
User1120,3,5,1
User1121,4,2,3
User1122,3,2,5
User1123,1,2,2
User1124,2,2,3
User1125,4,4,2
User1126,3,1,1
User1127,5,1,3
User1128,3,4,2
User1129,5,5,5
User1130,1,4,1
User1131,4,4,1
User1132,4,1,2
User1133,3,4,4
User1134,1,5,1
User1135,5,3,4
User1136,5,5,5
User1137,1,5,5
User1138,4,5,5
User1139,3,2,3
User1140,3,2,5
User1141,2,2,3
User1142,2,5,5
User1143,4,3,5
User1144,2,1,1
User1145,4,1,4
User1146,3,3,3
User1147,3,5,4
User1148,3,3,3
User1149,4,4,3
User1150,4,5,1
User1151,4,5,1
User1152,5,1,2
User1153,3,4,1
User1154,3,1,4
User1155,4,3,5
User1156,5,4,2
User1157,1,4,4
User1158,1,1,4
User1159,2,4,3
User1160,3,2,1
User1161,4,5,4
User1162,3,3,5
User1163,4,2,1
User1164,1,2,2
User1165,4,4,1
User1166,3,4,5
User1167,5,2,3
User1168,2,4,2
User1169,4,2,2
User1170,1,2,5
User1171,3,4,1
User1172,5,2,1
User1173,5,3,1
User1174,5,4,1
User1175,2,3,1
User1176,1,4,4
User1177,4,1,2
User1178,1,1,3
User1179,2,2,5
User1180,2,4,5
User1181,2,5,3
User1182,5,4,3
User1183,3,5,3
User1184,2,3,1
User1185,1,1,5
User1186,3,5,4
User1187,3,4,3
User1188,3,1,5
User1189,5,2,5
User1190,3,1,1
User1191,5,4,2
User1192,3,3,4
User1193,4,1,5
User1194,3,1,5
User1195,1,2,2
User1196,5,2,1
User1197,4,1,4
User1198,5,5,4
User1199,1,1,4
User1200,2,5,3
User1201,4,5,2
User1202,3,3,4
User1203,1,5,3
User1204,4,3,4
User1205,5,4,4
User1206,1,3,1
User1207,3,3,4
User1208,2,2,4
User1209,3,4,5
User1210,1,1,5
User1211,2,2,1
User1212,1,3,3
User1213,4,5,1
User1214,4,5,5
User1215,3,5,4
User1216,1,5,5
User1217,3,3,2
User1218,4,5,5
User1219,4,5,5
User1220,5,4,1
User1221,3,2,3
User1222,4,1,2
User1223,2,3,5
User1224,5,5,3
User1225,4,4,1
User1226,2,4,2
User1227,3,3,5
User1228,1,4,2
User1229,3,3,5
User1230,4,2,5
User1231,5,1,4
User1232,4,5,5
User1233,3,3,5
User1234,1,5,1
User1235,2,2,2
User1236,1,2,2
User1237,4,5,3
User1238,4,2,5
User1239,4,1,2
User1240,5,1,4
User1241,4,2,3
User1242,5,2,1
User1243,2,1,2
User1244,5,1,2
User1245,4,1,1
User1246,3,5,1
User1247,2,2,5
User1248,5,2,2
User1249,2,3,3
User1250,2,2,3
User1251,5,5,4
User1252,5,4,2
User1253,5,5,2
User1254,5,3,4
User1255,1,5,4
User1256,3,3,1
User1257,1,2,2
User1258,4,5,4
User1259,2,3,5
User1260,2,4,3
User1261,4,2,3
User1262,3,5,2
User1263,5,4,3
User1264,5,4,1
User1265,3,3,1
User1266,5,1,4
User1267,1,5,4
User1268,4,4,1
User1269,4,3,2
User1270,1,4,1
User1271,3,4,5
User1272,5,5,1
User1273,2,5,1
User1274,1,1,1
User1275,2,3,4
User1276,1,2,2
User1277,4,5,3
User1278,2,4,1
User1279,2,4,1
User1280,5,5,5
User1281,2,2,1
User1282,4,5,2
User1283,3,5,4
User1284,1,2,5
User1285,1,5,3
User1286,5,2,1
User1287,4,3,5
User1288,3,1,1
User1289,4,2,5
User1290,1,5,5
User1291,2,2,5
User1292,5,4,2
User1293,3,3,5
User1294,2,4,1
User1295,1,2,4
User1296,1,3,1
User1297,4,4,5
User1298,3,4,1
User1299,5,1,2
User1300,3,4,4
User1301,4,2,5
User1302,4,3,4
User1303,5,2,5
User1304,5,3,2
User1305,2,5,4
User1306,5,1,1
User1307,2,1,1
User1308,3,2,5
User1309,5,2,2
User1310,2,1,4
User1311,5,3,3
User1312,3,3,5
User1313,5,4,3
User1314,2,3,3
User1315,5,2,5
User1316,1,1,2
User1317,1,4,5
User1318,5,5,3
User1319,4,4,2
User1320,5,1,2
User1321,2,3,4
User1322,4,3,3
User1323,1,3,5
User1324,1,4,3
User1325,5,2,5
User1326,4,3,4
User1327,1,4,3
User1328,3,5,4
User1329,3,3,4
User1330,4,5,4
User1331,1,4,1
User1332,3,2,2
User1333,5,5,4
User1334,4,4,5
User1335,2,1,4
User1336,4,3,1
User1337,5,2,4
User1338,5,3,2
User1339,3,4,1
User1340,3,5,4
User1341,2,2,2
User1342,5,5,5
User1343,4,1,2
User1344,1,5,5
User1345,1,3,4
User1346,3,5,5
User1347,3,5,5
User1348,2,1,1
User1349,1,2,5
User1350,5,3,2
User1351,4,4,5
User1352,3,3,2
User1353,1,3,1
User1354,3,5,4
User1355,3,5,4
User1356,4,1,2
User1357,5,5,3
User1358,5,3,2
User1359,4,1,2
User1360,2,5,2
User1361,2,3,5
User1362,5,1,2
User1363,5,3,3
User1364,3,5,2
User1365,5,4,5
User1366,3,4,1
User1367,4,4,5
User1368,1,4,2
User1369,2,1,4
User1370,3,1,4
User1371,2,5,5
User1372,1,5,4
User1373,1,2,5
User1374,3,3,1
User1375,2,3,5
User1376,1,4,5
User1377,1,3,2
User1378,4,2,3
User1379,4,5,5
User1380,5,5,3
User1381,2,1,3
User1382,2,1,1
User1383,1,2,4
User1384,5,3,5
User1385,3,5,1
User1386,5,4,3
User1387,1,3,2
User1388,3,5,4
User1389,5,4,3
User1390,2,3,4
User1391,2,2,5
User1392,1,4,3
User1393,3,1,3
User1394,2,3,5
User1395,3,3,2
User1396,4,4,4
User1397,2,4,2
User1398,1,3,3
User1399,5,4,5
User1400,4,1,3
User1401,5,5,5
User1402,1,5,2
User1403,1,4,2
User1404,1,2,3
User1405,5,2,2
User1406,4,2,3
User1407,1,2,4
User1408,3,2,4
User1409,4,4,1
User1410,5,1,2
User1411,1,2,2
User1412,5,4,4
User1413,4,4,4
User1414,4,1,3
User1415,1,1,1
User1416,3,4,1
User1417,1,5,1
User1418,3,2,3
User1419,4,3,5
User1420,2,5,3
User1421,3,5,3
User1422,5,4,5
User1423,1,3,1
User1424,4,1,3
User1425,4,2,5
User1426,2,4,3
User1427,2,5,2
User1428,4,1,5
User1429,1,4,1
User1430,2,3,5
User1431,3,1,3
User1432,4,1,5
User1433,5,1,3
User1434,2,3,3
User1435,2,3,5
User1436,5,4,2
User1437,3,5,5
User1438,3,3,5
User1439,2,1,2
User1440,2,1,4
User1441,5,4,5
User1442,4,4,2
User1443,5,3,3
User1444,1,3,4
User1445,4,3,1
User1446,4,4,2
User1447,1,4,4
User1448,5,2,5
User1449,2,5,1
User1450,4,5,5
User1451,4,5,3
User1452,3,1,2
User1453,4,3,1
User1454,3,5,2
User1455,1,5,2
User1456,5,2,4
User1457,1,5,3
User1458,5,3,2
User1459,1,4,5
User1460,1,4,3
User1461,1,2,2
User1462,1,3,1
User1463,1,3,2
User1464,3,1,1
User1465,3,2,2
User1466,3,5,5
User1467,4,3,4
User1468,3,3,5
User1469,1,2,2
User1470,5,3,3
User1471,2,3,4
User1472,3,1,3
User1473,1,5,3
User1474,1,5,1
User1475,2,2,1
User1476,3,5,2
User1477,5,5,4
User1478,3,5,4
User1479,2,4,4
User1480,1,3,1
User1481,1,1,3
User1482,3,1,3
User1483,5,2,3
User1484,3,3,5
User1485,1,1,1
User1486,4,5,4
User1487,4,2,3
User1488,4,5,3
User1489,1,2,2
User1490,5,5,2
User1491,3,4,4
User1492,3,1,3
User1493,5,4,4
User1494,1,4,2
User1495,2,3,5
